City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
152,mountain home,43.133,-115.6912,19.12,41,75,9.77,US,1682620198
153,lerwick,60.1545,-1.1494,6.0,65,68,6.44,GB,1682620280
154,charters towers,-20.1,146.2667,18.22,91,1,2.69,AU,1682620280
155,talara,-4.5772,-81.2719,31.42,66,0,5.14,PE,1682620280
156,tvoroyri,61.5556,-6.8111,3.45,74,100,9.46,FO,1682620281
157,san antonio de pale,-1.4014,5.6325,28.51,70,100,0.49,GQ,1682620281
158,midvagur,62.0511,-7.1939,4.46,56,75,4.63,FO,1682620281
159,karratha,-20.7377,116.8463,26.21,57,96,1.83,AU,1682620281
160,tolanaro,-25.0319,46.9987,23.04,88,40,4.12,MG,1682620282
161,alcala del valle,36.9045,-5.1724,28.54,24,57,1.45,ES,1682620282
162,keflavik,64.0049,-22.5624,4.24,81,75,1.03,IS,1682620282
163,whitehorse,60.7161,-135.0538,4.45,59,75,4.92,CA,1682619689
164,qaqortoq,60.7167,-46.0333,1.93,78,84,3.17,GL,1682620155
165,hami,42.8,93.45,7.61,16,11,3.36,CN,1682620283
166,howrah,22.5892,88.3103,25.0,88,40,2.57,IN,1682620284
167,nakamura,32.9833,132.9333,11.11,85,59,1.01,JP,1682620018
168,al kharijah,25.4514,30.5464,26.63,19,0,3.23,EG,1682620284
169,talnakh,69.4865,88.3972,-10.44,97,99,1.22,RU,1682620284
170,usogorsk,63.4106,48.6872,-4.01,94,8,2.7,RU,1682620284
171,hithadhoo,-0.6,73.0833,28.78,76,99,3.46,MV,1682620285
172,bogo,11.0517,124.0055,27.31,82,5,4.14,PH,1682620285
173,zaragoza,41.6561,-0.8773,30.48,24,0,2.57,ES,1682620285
174,saipan,15.1355,145.701,27.39,89,40,7.72,MP,1682620286
175,vanimo,-2.6741,141.3028,25.43,89,100,1.34,PG,1682620286
176,timmins,48.4669,-81.3331,6.9,53,100,6.69,CA,1682620203
177,oranjemund,-28.55,16.4333,14.56,86,6,3.08,NA,1682620287
178,vilyuysk,63.7553,121.6247,-1.5,92,100,3.6,RU,1682620287
179,salinopolis,-0.6136,-47.3561,27.51,72,100,3.38,BR,1682620287
180,saudarkrokur,65.7461,-19.6394,0.87,56,4,3.52,IS,1682620287
181,chonchi,-42.6128,-73.8092,10.62,98,100,1.78,CL,1682620288
182,khovd,48.0056,91.6419,1.61,44,73,0.59,MN,1682620288
183,cidade velha,14.9167,-23.6167,27.26,54,0,7.72,CV,1682620288
184,newman,37.3138,-121.0208,28.46,39,30,1.34,US,1682620289
185,kudahuvadhoo,2.6708,72.8944,28.83,73,85,2.71,MV,1682620289
186,sungai penuh,-2.0833,101.3833,18.59,97,98,1.08,ID,1682620003
187,uturoa,-16.7333,-151.4333,27.95,77,68,4.87,PF,1682620289
188,nyuzen,36.9333,137.5,7.73,63,0,1.7,JP,1682620290
189,callao,-12.0667,-77.15,26.16,65,0,6.69,PE,1682620290
